"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Helsinki Kaisaniemi","2024","1","1","00:00","-13.9","-13.7","-14"
"Helsinki Kaisaniemi","2024","1","1","01:00","-14.1","-14","-14.3"
"Helsinki Kaisaniemi","2024","1","1","02:00","-14.4","-14.1","-14.6"
"Helsinki Kaisaniemi","2024","1","1","03:00","-14.7","-14.5","-14.9"
"Helsinki Kaisaniemi","2024","1","1","04:00","-14.6","-14.4","-14.8"
"Helsinki Kaisaniemi","2024","1","1","05:00","-14.3","-14.1","-14.6"
"Helsinki Kaisaniemi","2024","1","1","06:00","-14.2","-14.1","-14.3"
"Helsinki Kaisaniemi","2024","1","1","07:00","-14.5","-14.3","-14.8"
"Helsinki Kaisaniemi","2024","1","1","08:00","-15.2","-14.8","-15.5"
"Helsinki Kaisaniemi","2024","1","1","09:00","-15.6","-15.4","-15.8"
"Helsinki Kaisaniemi","2024","1","1","10:00","-15.9","-15.7","-16"
"Helsinki Kaisaniemi","2024","1","1","11:00","-16","-15.9","-16.1"
"Helsinki Kaisaniemi","2024","1","1","12:00","-15.9","-15.8","-16.1"
"Helsinki Kaisaniemi","2024","1","1","13:00","-15.7","-15.7","-15.8"
"Helsinki Kaisaniemi","2024","1","1","14:00","-15.7","-15.7","-15.8"
"Helsinki Kaisaniemi","2024","1","1","15:00","-15.9","-15.7","-16"
"Helsinki Kaisaniemi","2024","1","1","16:00","-16.3","-16","-16.7"
"Helsinki Kaisaniemi","2024","1","1","17:00","-16.9","-16.7","-17.1"
"Helsinki Kaisaniemi","2024","1","1","18:00","-17","-16.9","-17.2"
"Helsinki Kaisaniemi","2024","1","1","19:00","-17.3","-17.1","-17.4"
"Helsinki Kaisaniemi","2024","1","1","20:00","-17","-16.9","-17.2"
"Helsinki Kaisaniemi","2024","1","1","21:00","-17","-16.9","-17.1"
"Helsinki Kaisaniemi","2024","1","1","22:00","-16.8","-16.7","-16.9"
"Helsinki Kaisaniemi","2024","1","1","23:00","-16.5","-16.4","-16.7"
"Helsinki Kaisaniemi","2024","1","2","00:00","-16.5","-16.4","-16.5"
"Helsinki Kaisaniemi","2024","1","2","01:00","-16.6","-16.4","-16.7"
"Helsinki Kaisaniemi","2024","1","2","02:00","-16.7","-16.5","-16.8"
"Helsinki Kaisaniemi","2024","1","2","03:00","-16.4","-16.3","-16.7"
"Helsinki Kaisaniemi","2024","1","2","04:00","-15.9","-15.5","-16.3"
"Helsinki Kaisaniemi","2024","1","2","05:00","-15.3","-15.1","-15.5"
"Helsinki Kaisaniemi","2024","1","2","06:00","-15.1","-15","-15.2"
"Helsinki Kaisaniemi","2024","1","2","07:00","-15","-14.8","-15.2"
"Helsinki Kaisaniemi","2024","1","2","08:00","-14.4","-14.2","-14.7"
"Helsinki Kaisaniemi","2024","1","2","09:00","-14.8","-14.3","-15.2"
"Helsinki Kaisaniemi","2024","1","2","10:00","-15.2","-15.1","-15.3"
"Helsinki Kaisaniemi","2024","1","2","11:00","-15","-14.9","-15.2"
"Helsinki Kaisaniemi","2024","1","2","12:00","-15.5","-15.2","-15.8"
"Helsinki Kaisaniemi","2024","1","2","13:00","-15","-14.8","-15.5"
"Helsinki Kaisaniemi","2024","1","2","14:00","-15.1","-14.8","-15.3"
"Helsinki Kaisaniemi","2024","1","2","15:00","-15.5","-15","-15.9"
"Helsinki Kaisaniemi","2024","1","2","16:00","-16.4","-15.9","-16.7"
"Helsinki Kaisaniemi","2024","1","2","17:00","-16.7","-16.6","-17"
"Helsinki Kaisaniemi","2024","1","2","18:00","-17.7","-17","-18.3"
"Helsinki Kaisaniemi","2024","1","2","19:00","-18.7","-18.3","-18.8"
"Helsinki Kaisaniemi","2024","1","2","20:00","-18.8","-18.6","-19"
"Helsinki Kaisaniemi","2024","1","2","21:00","-19","-18.8","-19.2"
"Helsinki Kaisaniemi","2024","1","2","22:00","-19.2","-18.8","-19.4"
"Helsinki Kaisaniemi","2024","1","2","23:00","-19.3","-19.1","-19.4"
"Helsinki Kaisaniemi","2024","1","3","00:00","-18.8","-18.4","-19.2"
"Helsinki Kaisaniemi","2024","1","3","01:00","-18.2","-17.9","-18.4"
"Helsinki Kaisaniemi","2024","1","3","02:00","-17.7","-17.4","-18"
"Helsinki Kaisaniemi","2024","1","3","03:00","-17.4","-17.2","-17.8"
"Helsinki Kaisaniemi","2024","1","3","04:00","-17.3","-16.8","-17.8"
"Helsinki Kaisaniemi","2024","1","3","05:00","-16.4","-16.2","-16.8"
"Helsinki Kaisaniemi","2024","1","3","06:00","-15.6","-15.3","-16.2"
"Helsinki Kaisaniemi","2024","1","3","07:00","-15.4","-15.3","-15.5"
"Helsinki Kaisaniemi","2024","1","3","08:00","-15.4","-15.2","-15.6"
"Helsinki Kaisaniemi","2024","1","3","09:00","-15.2","-14.8","-15.5"
"Helsinki Kaisaniemi","2024","1","3","10:00","-15.1","-14.8","-15.3"
"Helsinki Kaisaniemi","2024","1","3","11:00","-15.2","-15.2","-15.3"
"Helsinki Kaisaniemi","2024","1","3","12:00","-15.3","-15.1","-15.5"
"Helsinki Kaisaniemi","2024","1","3","13:00","-15.7","-15.4","-15.9"
"Helsinki Kaisaniemi","2024","1","3","14:00","-15.8","-15.6","-16"
"Helsinki Kaisaniemi","2024","1","3","15:00","-16.1","-15.9","-16.3"
"Helsinki Kaisaniemi","2024","1","3","16:00","-15.8","-15.5","-16.1"
"Helsinki Kaisaniemi","2024","1","3","17:00","-15.6","-15.4","-15.7"
"Helsinki Kaisaniemi","2024","1","3","18:00","-16.5","-15.7","-17.3"
"Helsinki Kaisaniemi","2024","1","3","19:00","-18","-17.3","-18.3"
"Helsinki Kaisaniemi","2024","1","3","20:00","-17.6","-17.3","-18.2"
"Helsinki Kaisaniemi","2024","1","3","21:00","-17.6","-17.3","-17.9"
"Helsinki Kaisaniemi","2024","1","3","22:00","-17.8","-17.8","-17.9"
"Helsinki Kaisaniemi","2024","1","3","23:00","-17.9","-17.7","-18.1"
"Helsinki Kaisaniemi","2024","1","4","00:00","-17.7","-17.6","-17.8"
"Helsinki Kaisaniemi","2024","1","4","01:00","-17.6","-17.4","-17.7"
"Helsinki Kaisaniemi","2024","1","4","02:00","-17.4","-17.3","-17.6"
"Helsinki Kaisaniemi","2024","1","4","03:00","-17.1","-16.7","-17.5"
"Helsinki Kaisaniemi","2024","1","4","04:00","-16.9","-16.7","-17.4"
"Helsinki Kaisaniemi","2024","1","4","05:00","-17.6","-17.4","-17.8"
"Helsinki Kaisaniemi","2024","1","4","06:00","-18.2","-17.8","-18.9"
"Helsinki Kaisaniemi","2024","1","4","07:00","-18.6","-18.3","-18.9"
"Helsinki Kaisaniemi","2024","1","4","08:00","-18.1","-18","-18.3"
"Helsinki Kaisaniemi","2024","1","4","09:00","-18.1","-18","-18.2"
"Helsinki Kaisaniemi","2024","1","4","10:00","-18.1","-18","-18.2"
"Helsinki Kaisaniemi","2024","1","4","11:00","-17.9","-17.8","-18.1"
"Helsinki Kaisaniemi","2024","1","4","12:00","-17.9","-17.7","-18"
"Helsinki Kaisaniemi","2024","1","4","13:00","-17.6","-17.1","-18"
"Helsinki Kaisaniemi","2024","1","4","14:00","-16.8","-16.5","-17.1"
"Helsinki Kaisaniemi","2024","1","4","15:00","-16.2","-16","-16.5"
"Helsinki Kaisaniemi","2024","1","4","16:00","-15.8","-15.5","-16"
"Helsinki Kaisaniemi","2024","1","4","17:00","-15.6","-15.4","-16"
"Helsinki Kaisaniemi","2024","1","4","18:00","-16.6","-16","-16.9"
"Helsinki Kaisaniemi","2024","1","4","19:00","-16.7","-16.5","-16.9"
"Helsinki Kaisaniemi","2024","1","4","20:00","-17","-16.6","-17.1"
"Helsinki Kaisaniemi","2024","1","4","21:00","-16.6","-16.2","-17"
"Helsinki Kaisaniemi","2024","1","4","22:00","-16.1","-15.8","-16.2"
"Helsinki Kaisaniemi","2024","1","4","23:00","-15.6","-15.5","-15.8"
"Helsinki Kaisaniemi","2024","1","5","00:00","-16.1","-15.7","-16.6"
"Helsinki Kaisaniemi","2024","1","5","01:00","-16.6","-16.2","-16.7"
"Helsinki Kaisaniemi","2024","1","5","02:00","-15.8","-15.5","-16.2"
"Helsinki Kaisaniemi","2024","1","5","03:00","-15.7","-15.4","-16"
"Helsinki Kaisaniemi","2024","1","5","04:00","-16.2","-15.9","-16.8"
"Helsinki Kaisaniemi","2024","1","5","05:00","-17","-16.6","-17.2"
"Helsinki Kaisaniemi","2024","1","5","06:00","-16.2","-15.9","-16.6"
"Helsinki Kaisaniemi","2024","1","5","07:00","-16.1","-15.9","-16.2"
"Helsinki Kaisaniemi","2024","1","5","08:00","-16.2","-16","-16.5"
"Helsinki Kaisaniemi","2024","1","5","09:00","-16.5","-16.4","-16.6"
"Helsinki Kaisaniemi","2024","1","5","10:00","-16.6","-16.5","-16.7"
"Helsinki Kaisaniemi","2024","1","5","11:00","-16.2","-16","-16.6"
"Helsinki Kaisaniemi","2024","1","5","12:00","-15.9","-15.7","-16.1"
"Helsinki Kaisaniemi","2024","1","5","13:00","-15.6","-15.4","-15.7"
"Helsinki Kaisaniemi","2024","1","5","14:00","-15.4","-15.2","-15.5"
"Helsinki Kaisaniemi","2024","1","5","15:00","-15.5","-15.4","-15.7"
"Helsinki Kaisaniemi","2024","1","5","16:00","-15.7","-15.6","-15.8"
"Helsinki Kaisaniemi","2024","1","5","17:00","-15.9","-15.8","-16"
"Helsinki Kaisaniemi","2024","1","5","18:00","-15.8","-15.7","-15.9"
"Helsinki Kaisaniemi","2024","1","5","19:00","-15.9","-15.8","-15.9"
"Helsinki Kaisaniemi","2024","1","5","20:00","-15.8","-15.8","-15.9"
"Helsinki Kaisaniemi","2024","1","5","21:00","-15.7","-15.6","-15.8"
"Helsinki Kaisaniemi","2024","1","5","22:00","-15.6","-15.5","-15.7"
"Helsinki Kaisaniemi","2024","1","5","23:00","-15.4","-15.3","-15.5"
"Helsinki Kaisaniemi","2024","1","6","00:00","-15.2","-15.1","-15.3"
"Helsinki Kaisaniemi","2024","1","6","01:00","-15","-14.9","-15.2"
"Helsinki Kaisaniemi","2024","1","6","02:00","-14.8","-14.6","-14.9"
"Helsinki Kaisaniemi","2024","1","6","03:00","-14.4","-14.4","-14.6"
"Helsinki Kaisaniemi","2024","1","6","04:00","-14.3","-14.2","-14.4"
"Helsinki Kaisaniemi","2024","1","6","05:00","-14.2","-14.2","-14.3"
"Helsinki Kaisaniemi","2024","1","6","06:00","-14.3","-14.2","-14.5"
"Helsinki Kaisaniemi","2024","1","6","07:00","-14.6","-14.4","-14.7"
"Helsinki Kaisaniemi","2024","1","6","08:00","-14.3","-14.1","-14.6"
"Helsinki Kaisaniemi","2024","1","6","09:00","-13.9","-13.5","-14.1"
"Helsinki Kaisaniemi","2024","1","6","10:00","-13.5","-13.2","-13.9"
"Helsinki Kaisaniemi","2024","1","6","11:00","-14.1","-13.9","-14.3"
"Helsinki Kaisaniemi","2024","1","6","12:00","-14.3","-14.1","-14.5"
"Helsinki Kaisaniemi","2024","1","6","13:00","-14","-13.7","-14.4"
"Helsinki Kaisaniemi","2024","1","6","14:00","-13.6","-13.6","-13.8"
"Helsinki Kaisaniemi","2024","1","6","15:00","-13.7","-13.5","-14"
"Helsinki Kaisaniemi","2024","1","6","16:00","-14.3","-13.9","-14.6"
"Helsinki Kaisaniemi","2024","1","6","17:00","-15","-14.7","-15.6"
"Helsinki Kaisaniemi","2024","1","6","18:00","-15.7","-15.2","-15.9"
"Helsinki Kaisaniemi","2024","1","6","19:00","-15.8","-15.5","-16"
"Helsinki Kaisaniemi","2024","1","6","20:00","-16.3","-15.8","-16.7"
"Helsinki Kaisaniemi","2024","1","6","21:00","-16.9","-16.5","-17.2"
"Helsinki Kaisaniemi","2024","1","6","22:00","-17.2","-16.7","-17.7"
"Helsinki Kaisaniemi","2024","1","6","23:00","-17.8","-17.4","-18.1"
"Helsinki Kaisaniemi","2024","1","7","00:00","-17.9","-17.5","-18.6"
"Helsinki Kaisaniemi","2024","1","7","01:00","-19.4","-18.7","-19.7"
"Helsinki Kaisaniemi","2024","1","7","02:00","-19.8","-19.6","-20"
"Helsinki Kaisaniemi","2024","1","7","03:00","-19.9","-19.7","-20.2"
"Helsinki Kaisaniemi","2024","1","7","04:00","-20.4","-20.2","-20.5"
"Helsinki Kaisaniemi","2024","1","7","05:00","-20.6","-20.5","-20.7"
"Helsinki Kaisaniemi","2024","1","7","06:00","-20.7","-20.4","-21"
"Helsinki Kaisaniemi","2024","1","7","07:00","-20.8","-20.6","-21.1"
"Helsinki Kaisaniemi","2024","1","7","08:00","-20.9","-20.8","-21.1"
"Helsinki Kaisaniemi","2024","1","7","09:00","-20.8","-20.6","-21"
"Helsinki Kaisaniemi","2024","1","7","10:00","-21","-20.8","-21.2"
"Helsinki Kaisaniemi","2024","1","7","11:00","-20.9","-20.3","-21.1"
"Helsinki Kaisaniemi","2024","1","7","12:00","-19.2","-18.4","-20.2"
"Helsinki Kaisaniemi","2024","1","7","13:00","-17.9","-16.8","-18.6"
"Helsinki Kaisaniemi","2024","1","7","14:00","-17.1","-16.9","-17.3"
"Helsinki Kaisaniemi","2024","1","7","15:00","-17.2","-17","-17.7"
"Helsinki Kaisaniemi","2024","1","7","16:00","-17.6","-17.4","-18"
"Helsinki Kaisaniemi","2024","1","7","17:00","-18.2","-17.8","-18.5"
"Helsinki Kaisaniemi","2024","1","7","18:00","-18.9","-18.6","-19.3"
"Helsinki Kaisaniemi","2024","1","7","19:00","-19.3","-19.1","-19.5"
"Helsinki Kaisaniemi","2024","1","7","20:00","-19.6","-19.4","-19.9"
"Helsinki Kaisaniemi","2024","1","7","21:00","-19.5","-19.2","-19.8"
"Helsinki Kaisaniemi","2024","1","7","22:00","-18.5","-18.1","-19.2"
"Helsinki Kaisaniemi","2024","1","7","23:00","-17.7","-17.2","-18.2"
"Helsinki Kaisaniemi","2024","1","8","00:00","-17.6","-15.6","-17.9"
"Helsinki Kaisaniemi","2024","1","8","01:00","-14.8","-14.5","-15.6"
"Helsinki Kaisaniemi","2024","1","8","02:00","-14.1","-13.7","-14.6"
"Helsinki Kaisaniemi","2024","1","8","03:00","-13.6","-12.6","-14.3"
"Helsinki Kaisaniemi","2024","1","8","04:00","-12.8","-12.5","-13.4"
"Helsinki Kaisaniemi","2024","1","8","05:00","-12","-11.6","-12.5"
"Helsinki Kaisaniemi","2024","1","8","06:00","-10.2","-9.2","-11.6"
"Helsinki Kaisaniemi","2024","1","8","07:00","-8.4","-7.4","-9.2"
"Helsinki Kaisaniemi","2024","1","8","08:00","-7","-6.5","-7.4"
"Helsinki Kaisaniemi","2024","1","8","09:00","-6","-5.6","-6.5"
"Helsinki Kaisaniemi","2024","1","8","10:00","-5.4","-5.3","-5.6"
"Helsinki Kaisaniemi","2024","1","8","11:00","-5.3","-5.3","-5.4"
"Helsinki Kaisaniemi","2024","1","8","12:00","-5.2","-4.9","-5.3"
"Helsinki Kaisaniemi","2024","1","8","13:00","-4.7","-4.4","-5"
"Helsinki Kaisaniemi","2024","1","8","14:00","-4.2","-4.1","-4.4"
"Helsinki Kaisaniemi","2024","1","8","15:00","-3.9","-3.7","-4.1"
"Helsinki Kaisaniemi","2024","1","8","16:00","-3.5","-3.3","-3.7"
"Helsinki Kaisaniemi","2024","1","8","17:00","-3.2","-3.1","-3.2"
"Helsinki Kaisaniemi","2024","1","8","18:00","-3.1","-3","-3.2"
"Helsinki Kaisaniemi","2024","1","8","19:00","-3","-3","-3.1"
"Helsinki Kaisaniemi","2024","1","8","20:00","-3","-2.9","-3.1"
"Helsinki Kaisaniemi","2024","1","8","21:00","-3.1","-3","-3.3"
"Helsinki Kaisaniemi","2024","1","8","22:00","-3.4","-3.2","-3.6"
"Helsinki Kaisaniemi","2024","1","8","23:00","-3.7","-3.5","-3.9"
"Helsinki Kaisaniemi","2024","1","9","00:00","-3.9","-3.9","-4"
"Helsinki Kaisaniemi","2024","1","9","01:00","-3.7","-3.6","-3.9"
"Helsinki Kaisaniemi","2024","1","9","02:00","-3.5","-3.4","-3.6"
"Helsinki Kaisaniemi","2024","1","9","03:00","-3.2","-3.1","-3.5"
"Helsinki Kaisaniemi","2024","1","9","04:00","-2.8","-2.6","-3"
"Helsinki Kaisaniemi","2024","1","9","05:00","-2.3","-1.9","-2.6"
"Helsinki Kaisaniemi","2024","1","9","06:00","-1.5","-1.1","-1.8"
"Helsinki Kaisaniemi","2024","1","9","07:00","-0.7","-0.5","-1"
"Helsinki Kaisaniemi","2024","1","9","08:00","-0.2","0.1","-0.4"
"Helsinki Kaisaniemi","2024","1","9","09:00","0.3","0.5","0.1"
"Helsinki Kaisaniemi","2024","1","9","10:00","0.6","0.7","0.4"
"Helsinki Kaisaniemi","2024","1","9","11:00","0.9","1.2","0.7"
"Helsinki Kaisaniemi","2024","1","9","12:00","1.4","1.5","1.2"
"Helsinki Kaisaniemi","2024","1","9","13:00","1.7","1.8","1.5"
"Helsinki Kaisaniemi","2024","1","9","14:00","1.9","2","1.8"
"Helsinki Kaisaniemi","2024","1","9","15:00","2.1","2.3","2"
"Helsinki Kaisaniemi","2024","1","9","16:00","2.3","2.4","2.2"
"Helsinki Kaisaniemi","2024","1","9","17:00","2.4","2.5","2.3"
"Helsinki Kaisaniemi","2024","1","9","18:00","2.4","2.4","2.2"
"Helsinki Kaisaniemi","2024","1","9","19:00","2","2.4","1.6"
"Helsinki Kaisaniemi","2024","1","9","20:00","1.4","1.6","1.1"
"Helsinki Kaisaniemi","2024","1","9","21:00","1.2","1.4","1"
"Helsinki Kaisaniemi","2024","1","9","22:00","1.3","1.5","1"
"Helsinki Kaisaniemi","2024","1","9","23:00","1.5","1.6","1.3"
"Helsinki Kaisaniemi","2024","1","10","00:00","1.1","1.5","0.7"
"Helsinki Kaisaniemi","2024","1","10","01:00","0.9","1.1","0.6"
"Helsinki Kaisaniemi","2024","1","10","02:00","0.6","0.9","0.2"
"Helsinki Kaisaniemi","2024","1","10","03:00","0","0.2","-0.2"
"Helsinki Kaisaniemi","2024","1","10","04:00","0.5","0.7","0.1"
"Helsinki Kaisaniemi","2024","1","10","05:00","0.7","0.8","0.7"
"Helsinki Kaisaniemi","2024","1","10","06:00","0.7","0.7","0.6"
"Helsinki Kaisaniemi","2024","1","10","07:00","0.6","0.7","0.5"
"Helsinki Kaisaniemi","2024","1","10","08:00","0.6","0.7","0.5"
"Helsinki Kaisaniemi","2024","1","10","09:00","0.7","0.7","0.6"
"Helsinki Kaisaniemi","2024","1","10","10:00","0.8","1","0.7"
"Helsinki Kaisaniemi","2024","1","10","11:00","1.2","1.5","1"
"Helsinki Kaisaniemi","2024","1","10","12:00","1.7","1.8","1.5"
